B-numbers,gene,Galactose,L-alanine,D-alanine,Mannose,Glucosamine,Thymidine,Adenosine,Saccharate,Acetate,α-ketoglutarate,Malate,Succinate,Fumarate,Ribose,Fucose,Glycerol,Lactate,Oxaloacetate,Pyruvate,Galacturonate,Maltose,Fructose,Trehalose,Mannitol,Sorbitol,Glucuronate,Gluconate,Xylose,Glucose,N-acetyl Glucosamine,n_grows_01,rank_01,n_grows_05,rank_05,n_grows_1,rank_1
b3957,argE,0.034690515196276875,0.022614064396381917,0.02775370456904153,0.002599158102586539,0.012844164398731725,0.03764526118279891,0.019704932767909866,0.0239881837686939,0.03932638989809073,0.01996208110847663,0.019648986447793105,0.0051100490841886875,0.08878050473731423,0.006068031028668059,0.009773274976026846,0.008476622023220297,0.018583602962248234,0.0,0.00010873506664905885,0.033528405102753144,0.0,0.11105880353507573,0.00908125912331633,0.001381024169839543,0.004207029734539709,0.0,0.15706786327936723,0.016081261568069084,0.004759788534760444,0.15678209984890662,10.0,19.0,0.0,25.0,0.0,22.0
b3774,ilvC,0.11498878562649655,0.14559809679439178,0.023318941876795382,0.006820338150524489,0.001476620704348819,0.024933673481989424,0.06180951338755987,0.01951040159547424,0.03288598840882153,0.06518562918719249,0.007017498267373818,0.0007419784054492934,0.015423435585086416,0.007716593038089863,0.0,0.015976637662294645,0.02154957930226787,0.039740185760386335,0.016754383276171726,0.023015462655040134,0.0021339386637192494,0.0034525618488434077,0.023056157241348397,0.013596997302046636,0.010526191842633611,6.6125250094354e-05,0.06458455515284137,0.0194940560887469,0.003712711754637268,0.05626507349461645,6.666666666666667,27.0,0.0,26.0,0.0,23.0
b3959,argB,0.12354022760561825,0.17517730109674443,0.0,0.004032457237143361,0.0015746892268775788,0.0,0.14888834462688988,0.0,0.036469162432681716,0.024571626231300936,0.009678558807152385,0.004045786904852998,0.03528216858530927,0.0019096012584978218,0.012414186506917727,0.015990847179693686,0.017297540858309236,0.04386488314577513,0.0,0.03534392491943977,0.0038231408979902564,0.022031099533198897,0.022072214804105515,0.0029815574371725878,0.0062269290660744965,0.0,0.06708874716153385,0.030440313419405375,0.005464084714769521,0.056083289782713604,10.0,20.0,0.0,27.0,0.0,24.0
b2019,hisG,0.016327178495698872,0.05456559519897199,0.04221655099688511,0.006144270856440568,0.0,0.20172473810027172,0.1713762887112666,0.002338456088864368,0.020125099307100058,0.0,0.02499500470658507,0.0,0.034483429723771,0.049474076658314825,0.00323123849329845,0.0006081521060853872,0.018300907084536473,0.008734839072030964,0.010705658963504842,0.006733860863090203,0.007303740619189807,0.04824425641125234,0.006383817882488438,0.14926465806546682,0.020887204245242586,0.0067563683140571635,0.039784099369937265,0.0059440483518749644,0.002573294024553611,0.044988152286513365,10.0,21.0,0.0,28.0,0.0,25.0
b2838,lysA,0.02695567151207437,0.036397862569921946,0.02783310083626562,0.002755962598309676,0.0,0.04053087901980352,0.022294432810582493,0.014766994261974512,0.031108930346249314,0.019864023671034663,0.04962203328283267,0.006827630930055247,0.07834551038787406,0.05946539702660881,0.003135527944596407,0.006598467598670625,0.03313261998865383,0.012871050653869433,0.012851323504318186,0.0259823949333055,0.02143160384463482,0.0670854370562667,0.007357371091556125,0.23841543742556215,0.0005089427768689208,0.007370640697660935,0.10533097113808115,0.0,0.003623862581616774,0.08686796796598811,6.666666666666667,28.0,0.0,29.0,0.0,26.0
b2329,aroC,0.06359043057054242,0.007719474852737674,0.006040981918392073,0.008415937356982267,0.024045099248951363,0.10954710078696658,0.007822225610460063,0.010921145944413499,0.005456990730182662,0.0002726762491429386,0.018038266646702533,0.008646588384058521,0.0,0.0530068114600697,0.0037902794613972625,0.0,0.0215215393975985,0.009133670567197591,0.011022072823810925,0.0,0.019528277808428803,0.0540961011087009,0.0,0.017221812724636285,0.007135560039211719,0.01243804838428853,0.033090907497853726,0.0,0.0,0.05069638562749026,3.3333333333333335,35.0,0.0,30.0,0.0,27.0
b2600,tyrA,0.010594897045597376,0.007057585456797435,0.025294542259180944,0.010899066594999242,0.004050594673421809,0.10373162557665805,0.03328763698071838,0.010533432225465494,0.007371788880938297,0.0,0.030267057455508846,0.009625673254533207,0.0170345530790488,0.11044496103677612,0.00936922230086258,0.0040270400666488635,0.030871428723970883,0.0028200663079081412,0.005112196390747823,0.00487220802111756,0.0,0.057749424427072656,0.0010117207349849013,0.014466165102966382,0.006321226608145713,0.0038229948057042283,0.06510428443361478,0.0,0.004622923211950404,0.0732424167383181,6.666666666666667,29.0,0.0,31.0,0.0,28.0
b3389,aroB,0.005655562709140967,0.0,0.028363206765628063,0.000748868813889506,0.02074723602219836,0.0,0.027185873042716455,0.008526684680463081,0.008686905506781164,0.0029034114429003447,0.027305116122931742,0.0007300924552079276,0.01794092624233344,0.025482068898584353,0.0033870532226158243,0.006993849658571501,0.02058116068774783,0.0026058048145079574,0.00452982326959524,0.006362774617153957,0.010842233172099792,0.044950119736690594,0.0,0.008676983630890311,0.015474757053786169,0.005905770464144643,0.06970947823647942,0.005683235089822483,0.00043941066014666395,0.07382779771857627,0.0,42.0,0.0,32.0,0.0,29.0
b2818,argA,0.027582126953918377,0.048698436559541494,0.032091300401169934,0.007624340085719204,0.00839097016346697,0.09217765898596351,0.03635052473560217,0.019159561204695048,0.020390646773174082,0.032641640507766544,0.02359094810731509,0.004239082067715563,0.06340303096068084,0.04694943733486198,0.008449137858610638,0.00820585950264429,0.038461600065715605,0.006792305301631521,0.010309572858221304,0.023267315756027987,0.0,0.07376037186887315,0.0001250033550682008,0.007848637339779242,0.017908828110738486,0.009803115226528459,0.09074664180263463,0.022772183435006317,0.0,0.08400435481797813,0.0,43.0,0.0,33.0,0.0,30.0
b2025,hisF,0.03835209559150914,0.009367285477698993,0.02844276755160874,0.0,0.006841489212678373,0.1067250954188438,0.020842685175232405,0.00978056675027611,0.012579359179090581,0.023798943779349727,0.024194665910730058,0.012666866165032249,0.05569692398918469,0.0023336777998031744,0.0,0.0013449591236614092,0.017747693871549914,0.0,0.009304673129069735,0.004264797371005251,0.0,0.07410933239398305,0.0005894267233925109,0.022124699010445108,0.012027789144038684,0.0,0.04889071178508984,0.0001547936880459019,0.0,0.04990585746839203,3.3333333333333335,36.0,0.0,34.0,0.0,31.0
