Environment,Species,Pair,N,C,Aux1,Aux2,Mean,SEM,mono_aux1,Aux_OD_for_norm_mean1,Aux_OD_for_norm_sem1,mono_aux2,Aux_OD_for_norm_mean2,Aux_OD_for_norm_sem2,Auxs_growth_wo_AA,Norm_mean,Norm_sem,NS,CS,WT_mean,WT_sem,M_mean,M_sem,F_mean,F_sem,R_mean,R_sem,C_mean,C_sem,S_mean,S_sem,L_mean,L_sem,max_aux_mean,max_aux_sem,min_aux_mean,min_aux_sem
AmSu + NoC,Ec,S+S,AmSu,NoC,S,S,0.005,0.0,S,0.005,0.0,S,0.005,0.0,0.01,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.008833333333333334,0.0019564707454438916
AmSu + NoC,Ec,WT+WT,AmSu,NoC,WT,WT,0.005,0.0,,,,,,,,0.005,0.0,AmSu,NoC,0.005,0.0,0.005,0.0,0.0075,0.0018211717839530315,0.0105,0.004924428900898053,0.005,0.0,0.008833333333333334,0.0019564707454438916,0.005,0.0,0.005,0.0,0.005,0.0
Asn + Fum,Bs,C+C,Asn,Fum,C,C,0.005166666666666667,0.00016666666666666663,C,0.005166666666666667,0.00016666666666666663,C,0.005166666666666667,0.00016666666666666663,0.010333333333333333,0.005,0.00028867513459481284,Asn,Fum,0.13416666666666666,0.007520712141221142,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027,0.03983333333333333,0.0024278476979506854,0.19600000000000004,0.040665300523501195,0.13933333333333334,0.04063058508616932,0.11166666666666668,0.011017158334969043,0.19600000000000004,0.040665300523501195,0.19600000000000004,0.040665300523501195
Asn + Fum,Bs,F+C,Asn,Fum,F,C,0.025833333333333333,0.0006540472290116195,F,0.008,0.0011254628677422754,C,0.005166666666666667,0.00016666666666666663,0.013166666666666667,0.012666666666666666,0.0013123346456686352,Asn,Fum,0.13416666666666666,0.007520712141221142,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027,0.03983333333333333,0.0024278476979506854,0.19600000000000004,0.040665300523501195,0.13933333333333334,0.04063058508616932,0.11166666666666668,0.011017158334969043,0.19600000000000004,0.040665300523501195,0.062,0.0030221405217715027
Asn + Fum,Bs,M+C,Asn,Fum,M,C,0.008833333333333334,0.001470071804746663,M,0.005999999999999999,0.0006831300510639733,C,0.005166666666666667,0.00016666666666666663,0.011166666666666665,0.005,0.001629587541544042,Asn,Fum,0.13416666666666666,0.007520712141221142,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027,0.03983333333333333,0.0024278476979506854,0.19600000000000004,0.040665300523501195,0.13933333333333334,0.04063058508616932,0.11166666666666668,0.011017158334969043,0.19600000000000004,0.040665300523501195,0.09083333333333334,0.004874537015051902
Asn + Fum,Bs,R+C,Asn,Fum,R,C,0.033,0.0010327955589886446,R,0.006000000000000001,0.00044721359549995795,C,0.005166666666666667,0.00016666666666666663,0.011166666666666668,0.021833333333333333,0.0011377365443917343,Asn,Fum,0.13416666666666666,0.007520712141221142,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027,0.03983333333333333,0.0024278476979506854,0.19600000000000004,0.040665300523501195,0.13933333333333334,0.04063058508616932,0.11166666666666668,0.011017158334969043,0.19600000000000004,0.040665300523501195,0.03983333333333333,0.0024278476979506854
Asn + Fum,Bs,F+F,Asn,Fum,F,F,0.008,0.0011254628677422754,F,0.008,0.0011254628677422754,F,0.008,0.0011254628677422754,0.016,0.005,0.0019493588689617925,Asn,Fum,0.13416666666666666,0.007520712141221142,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027,0.03983333333333333,0.0024278476979506854,0.19600000000000004,0.040665300523501195,0.13933333333333334,0.04063058508616932,0.11166666666666668,0.011017158334969043,0.062,0.0030221405217715027,0.062,0.0030221405217715027
Asn + Fum,Bs,M+F,Asn,Fum,M,F,0.037333333333333336,0.004869405621953373,M,0.005999999999999999,0.0006831300510639733,F,0.008,0.0011254628677422754,0.013999999999999999,0.023333333333333338,0.005044248650140519,Asn,Fum,0.13416666666666666,0.007520712141221142,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027,0.03983333333333333,0.0024278476979506854,0.19600000000000004,0.040665300523501195,0.13933333333333334,0.04063058508616932,0.11166666666666668,0.011017158334969043,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027
Asn + Fum,Bs,C+L,Asn,Fum,C,L,0.011666666666666667,0.0023897931105246557,C,0.005166666666666667,0.00016666666666666663,L,0.005,0.0,0.010166666666666668,0.005,0.0023955978145107928,Asn,Fum,0.13416666666666666,0.007520712141221142,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027,0.03983333333333333,0.0024278476979506854,0.19600000000000004,0.040665300523501195,0.13933333333333334,0.04063058508616932,0.11166666666666668,0.011017158334969043,0.19600000000000004,0.040665300523501195,0.11166666666666668,0.011017158334969043
Asn + Fum,Bs,F+L,Asn,Fum,F,L,0.04733333333333333,0.008647414514048563,F,0.008,0.0011254628677422754,L,0.005,0.0,0.013000000000000001,0.03433333333333333,0.008720346578229813,Asn,Fum,0.13416666666666666,0.007520712141221142,0.09083333333333334,0.004874537015051902,0.062,0.0030221405217715027,0.03983333333333333,0.0024278476979506854,0.19600000000000004,0.040665300523501195,0.13933333333333334,0.04063058508616932,0.11166666666666668,0.011017158334969043,0.11166666666666668,0.011017158334969043,0.062,0.0030221405217715027
