fold,block,repeat,rmse_increase,base_rmse,rmse_perm,n_test
2,Prototroph growth,1,0.011056212561279567,0.03767569791551087,0.04873191047679044,90
2,Prototroph growth,2,0.007179715360058417,0.03767569791551087,0.044855413275569286,90
2,Prototroph growth,3,0.005600683911689157,0.03767569791551087,0.043276381827200026,90
2,Prototroph growth,4,0.0066467574313170685,0.03767569791551087,0.04432245534682794,90
2,Prototroph growth,5,0.006814465129996387,0.03767569791551087,0.04449016304550726,90
2,Prototroph growth,6,0.004587070975114474,0.03767569791551087,0.042262768890625343,90
2,Prototroph growth,7,0.011187594199622453,0.03767569791551087,0.04886329211513332,90
2,Prototroph growth,8,0.012945360458657677,0.03767569791551087,0.05062105837416855,90
2,Prototroph growth,9,0.008670846476670518,0.03767569791551087,0.04634654439218139,90
2,Environment,0,0.016174558539838485,0.03767569791551087,0.053850256455349355,90
2,Environment,1,0.012591862906355465,0.03767569791551087,0.050267560821866335,90
2,Environment,2,0.01328741327201411,0.03767569791551087,0.05096311118752498,90
2,Environment,3,0.014427312654746297,0.03767569791551087,0.052103010570257166,90
2,Environment,4,0.009196796773801738,0.03767569791551087,0.04687249468931261,90
2,Environment,5,0.009095474121236055,0.03767569791551087,0.046771172036746925,90
2,Environment,6,0.008825121077211458,0.03767569791551087,0.04650081899272233,90
2,Environment,7,0.011775203217692591,0.03767569791551087,0.04945090113320346,90
2,Environment,8,0.013367522870980753,0.03767569791551087,0.05104322078649162,90
2,Environment,9,0.007134313074388041,0.03767569791551087,0.04481001098989891,90
2,Species,0,0.010257948463937613,0.03767569791551087,0.04793364637944848,90
2,Species,1,0.012915624985041868,0.03767569791551087,0.05059132290055274,90
2,Species,2,0.01736177896358377,0.03767569791551087,0.05503747687909464,90
2,Species,3,0.014275789669863127,0.03767569791551087,0.051951487585374,90
2,Species,4,0.016568271679251845,0.03767569791551087,0.054243969594762714,90
2,Species,5,0.014257336300269423,0.03767569791551087,0.05193303421578029,90
2,Species,6,0.00927005941157534,0.03767569791551087,0.04694575732708621,90
2,Species,7,0.006788019933057686,0.03767569791551087,0.044463717848568556,90
2,Species,8,0.008174561264917814,0.03767569791551087,0.04585025918042868,90
2,Species,9,0.006629814567437282,0.03767569791551087,0.04430551248294815,90
