name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
set1IT056	D-Trehalose (C)	6/19/2014 Keio_ML9_set1	56	1750668	0	1188443	1178451	202	618.5	323.217498628634	0.382377514877568	0.184321915195628	0.675565049502063	0.645434697320285	0.266271070231791	0.0700490812496097	-0.10270360332788	1.7903283445475	TRUE
set1IT057	D-Serine (C)	6/19/2014 Keio_ML9_set1	57	1587572	0	1127227	1116842	138	618.5	306.319802523313	0.359561371720432	0.216128944670206	0.719099173372692	0.645434697320285	0.259301123295758	0.0578932738346953	-0.0532698944600425	8.55757852110603	TRUE
set1IT058	D-Serine (C)	6/19/2014 Keio_ML9_set1	58	1731194	0	1228603	1216898	150	618.5	333.762479429512	0.403789310718898	0.209284453972924	0.700439718141092	0.645434697320285	0.238717710257852	0.0671310597115475	-0.0582632755681944	8.45043313323611	TRUE
set1IT059	casaminos (C)	6/19/2014 Keio_ML9_set1	59	1675096	0	1141719	1132233	203	618.5	310.541140976413	0.26900558858641	0.171202062335231	0.663817921432396	0.645434697320285	0.150869344883148	0.0222335054823048	-0.0434796770307037	1.65792418902485	TRUE
set1IT060	casaminos (C)	6/19/2014 Keio_ML9_set1	60	1602488	0	1090795	1081526	196	618.5	296.633571036753	0.2668718810716	0.165416591834086	0.645033419575574	0.645434697320285	0.214059428853532	0.0269371013970603	-0.0492968214323374	1.83018187675794	TRUE
set1IT061	NAG (C)	6/19/2014 Keio_ML9_set1	61	1749471	0	1189231	1179148	206	618.5	323.408667032364	0.319204682099967	0.16011114095829	0.669026765509631	0.645434697320285	0.229967089213338	0.071305064879366	-0.0860359712475573	1.27862414768509	TRUE
set1IT062	NAG (C)	6/19/2014 Keio_ML9_set1	62	1920641	0	1306066	1294959	228	618.5	355.172517827756	0.315803303991566	0.155324535563024	0.67224282631044	0.645434697320285	0.226957568939536	0.0575557069858134	-0.0925842905981876	1.05933021884458	TRUE
set1IT063	D-Glucosamine Hydrochloride (C)	6/19/2014 Keio_ML9_set1	63	1673522	0	1138422	1128487	196	618.5	309.513713658804	0.335991677596561	0.198227391241547	0.660063955961876	0.645434697320285	0.206427656815817	0.0606555046825786	-0.0951409311065932	2.16722311478389	TRUE
set1IT064	D-Glucosamine Hydrochloride (C)	6/19/2014 Keio_ML9_set1	64	1510988	0	1028335	1019241	181	618.5	279.550466264399	0.316550331705473	0.23783634117713	0.678071905112637	0.645434697320285	0.218754186559638	0.0149230118726804	-0.0819984662219027	1.98301266469537	TRUE
set1IT065	D-Mannose (C)	6/19/2014 Keio_ML9_set1	65	1541066	0	1047246	1038481	183	618.5	284.827482172244	0.282912010968869	0.163953306129705	0.652805146502208	0.645434697320285	0.254838763200812	0.0522333658011753	-0.0841022251364342	0.858056043720863	TRUE
